# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
25.0 25.0 25.0 25.0 25.0 25.0 15.0 15.0 15.0 15.0 15.0 15.0 500.0 500.0 500.0 500.0 500.0 500.0 1.26e+01 1.28e+01 1.27e+01 1.23e+01 1.19e+01 1.20e+01
35.0 35.0 35.0 35.0 35.0 35.0 15.0 15.0 15.0 15.0 15.0 15.0 700.0 700.0 700.0 700.0 700.0 700.0 1.27e+01 1.24e+01 1.23e+01 1.21e+01 1.24e+01 1.20e+01
45.0 45.0 45.0 45.0 45.0 45.0 15.0 15.0 15.0 15.0 15.0 15.0 900.0 900.0 900.0 900.0 900.0 900.0 1.27e+01 1.25e+01 1.26e+01 1.23e+01 1.23e+01 1.22e+01
55.0 55.0 55.0 55.0 55.0 55.0 15.0 15.0 15.0 15.0 15.0 15.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.24e+01 1.24e+01 1.24e+01 1.25e+01 1.24e+01 1.21e+01
65.0 65.0 65.0 65.0 65.0 65.0 15.0 15.0 15.0 15.0 15.0 15.0 412.4 412.4 412.4 412.4 412.4 412.4 3.91e+00 3.94e+00 3.93e+00 3.99e+00 3.96e+00 3.87e+00
75.0 75.0 75.0 75.0 75.0 75.0 15.0 15.0 15.0 15.0 15.0 15.0 184.2 157.1 157.1 136.0 157.1 184.2 1.51e+00 1.33e+00 1.29e+00 1.15e+00 1.31e+00 1.51e+00
85.0 85.0 85.0 85.0 85.0 85.0 15.0 15.0 15.0 15.0 15.0 15.0 106.8 96.0 96.0 96.0 106.8 106.8 7.73e-01 7.11e-01 7.07e-01 7.16e-01 7.68e-01 7.65e-01
95.0 95.0 95.0 95.0 95.0 95.0 15.0 15.0 15.0 15.0 15.0 15.0 67.5 67.5 73.5 67.5 73.5 73.5 4.39e-01 4.46e-01 4.79e-01 4.49e-01 4.71e-01 4.75e-01
105.0 105.0 105.0 105.0 105.0 105.0 15.0 15.0 15.0 15.0 15.0 15.0 54.5 50.7 54.5 50.7 54.5 54.5 3.21e-01 3.03e-01 3.22e-01 3.05e-01 3.18e-01 3.19e-01
115.0 115.0 115.0 115.0 115.0 115.0 15.0 15.0 15.0 15.0 15.0 15.0 42.1 42.1 45.0 42.1 42.1 42.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
125.0 125.0 125.0 125.0 125.0 125.0 15.0 15.0 15.0 15.0 15.0 15.0 35.6 35.6 35.6 35.6 37.7 37.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
150.0 150.0 150.0 150.0 150.0 150.0 15.0 15.0 15.0 15.0 15.0 15.0 20.5 20.0 21.1 20.5 21.7 21.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 15.0 15.0 15.0 15.0 15.0 15.0 12.1 11.6 11.9 11.7 12.1 12.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 15.0 15.0 15.0 15.0 15.0 15.0 8.0 8.0 8.0 8.0 8.2 8.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 15.0 15.0 15.0 15.0 15.0 15.0 6.2 6.1 6.3 6.2 6.2 6.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 15.0 15.0 15.0 15.0 15.0 15.0 5.0 5.0 5.1 5.0 5.1 5.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 15.0 15.0 15.0 15.0 15.0 15.0 4.3 4.2 4.4 4.3 4.4 4.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 15.0 15.0 15.0 15.0 15.0 15.0 3.8 3.8 3.9 3.8 3.9 3.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 25.0 25.0 25.0 25.0 25.0 25.0 100.0 100.0 100.0 100.0 100.0 100.0 1.20e+01 1.07e+01 1.30e+01 1.44e+01 1.03e+01 1.12e+01
10.0 10.0 10.0 10.0 10.0 10.0 25.0 25.0 25.0 25.0 25.0 25.0 200.0 200.0 200.0 200.0 200.0 200.0 1.14e+01 1.15e+01 1.39e+01 1.29e+01 1.12e+01 1.21e+01
15.0 15.0 15.0 15.0 15.0 15.0 25.0 25.0 25.0 25.0 25.0 25.0 300.0 300.0 300.0 300.0 300.0 300.0 1.15e+01 1.20e+01 1.35e+01 1.26e+01 1.18e+01 1.19e+01
20.0 20.0 20.0 20.0 20.0 20.0 25.0 25.0 25.0 25.0 25.0 25.0 400.0 400.0 400.0 400.0 400.0 400.0 1.17e+01 1.18e+01 1.28e+01 1.25e+01 1.17e+01 1.21e+01
25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 500.0 500.0 500.0 500.0 500.0 500.0 1.22e+01 1.22e+01 1.28e+01 1.25e+01 1.19e+01 1.22e+01
35.0 35.0 35.0 35.0 35.0 35.0 25.0 25.0 25.0 25.0 25.0 25.0 700.0 700.0 700.0 700.0 700.0 700.0 1.22e+01 1.26e+01 1.25e+01 1.26e+01 1.22e+01 1.23e+01
