# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
25.0 25.0 25.0 25.0 25.0 25.0 15.0 15.0 15.0 15.0 15.0 15.0 0.4 0.8 0.2 0.4 0.3 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
35.0 35.0 35.0 35.0 35.0 35.0 15.0 15.0 15.0 15.0 15.0 15.0 0.4 0.6 0.5 0.2 0.4 0.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
45.0 45.0 45.0 45.0 45.0 45.0 15.0 15.0 15.0 15.0 15.0 15.0 0.4 0.4 0.4 0.3 0.7 0.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
55.0 55.0 55.0 55.0 55.0 55.0 15.0 15.0 15.0 15.0 15.0 15.0 0.3 0.3 0.6 0.2 0.7 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
65.0 65.0 65.0 65.0 65.0 65.0 15.0 15.0 15.0 15.0 15.0 15.0 0.3 0.4 0.5 0.2 0.3 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
75.0 75.0 75.0 75.0 75.0 75.0 15.0 15.0 15.0 15.0 15.0 15.0 0.4 0.3 0.4 0.2 0.7 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
85.0 85.0 85.0 85.0 85.0 85.0 15.0 15.0 15.0 15.0 15.0 15.0 0.4 0.3 0.5 0.2 0.6 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
95.0 95.0 95.0 95.0 95.0 95.0 15.0 15.0 15.0 15.0 15.0 15.0 0.4 0.3 0.4 0.3 0.6 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
105.0 105.0 105.0 105.0 105.0 105.0 15.0 15.0 15.0 15.0 15.0 15.0 0.5 0.2 0.3 0.3 0.5 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
115.0 115.0 115.0 115.0 115.0 115.0 15.0 15.0 15.0 15.0 15.0 15.0 0.5 0.4 0.5 0.2 0.5 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
