# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
25.0 25.0 25.0 25.0 25.0 25.0 15.0 15.0 15.0 15.0 15.0 15.0 500.0 500.0 500.0 500.0 500.0 500.0 1.66e+01 1.23e+01 1.26e+01 1.26e+01 1.30e+01 1.02e+01
35.0 35.0 35.0 35.0 35.0 35.0 15.0 15.0 15.0 15.0 15.0 15.0 700.0 700.0 700.0 700.0 700.0 700.0 1.61e+01 1.31e+01 1.22e+01 1.22e+01 1.38e+01 1.08e+01
45.0 45.0 45.0 45.0 45.0 45.0 15.0 15.0 15.0 15.0 15.0 15.0 900.0 900.0 900.0 900.0 900.0 900.0 1.41e+01 1.31e+01 1.06e+01 1.21e+01 1.28e+01 1.23e+01
55.0 55.0 55.0 55.0 55.0 55.0 15.0 15.0 15.0 15.0 15.0 15.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.50e+01 1.32e+01 1.22e+01 1.19e+01 1.23e+01 1.28e+01
65.0 65.0 65.0 65.0 65.0 65.0 15.0 15.0 15.0 15.0 15.0 15.0 1300.0 1300.0 1300.0 1300.0 1300.0 412.4 1.36e+01 1.26e+01 1.15e+01 1.20e+01 1.22e+01 4.54e+00
75.0 75.0 75.0 75.0 75.0 75.0 15.0 15.0 15.0 15.0 15.0 15.0 731.7 348.0 475.8 475.8 475.8 475.8 6.02e+00 3.16e+00 3.74e+00 3.77e+00 3.69e+00 4.21e+00
85.0 85.0 85.0 85.0 85.0 85.0 15.0 15.0 15.0 15.0 15.0 15.0 394.4 178.0 86.7 208.8 178.0 249.9 2.73e+00 1.40e+00 6.56e-01 1.46e+00 1.27e+00 1.92e+00
95.0 95.0 95.0 95.0 95.0 95.0 15.0 15.0 15.0 15.0 15.0 15.0 172.3 96.9 119.4 107.3 119.4 133.7 1.10e+00 6.54e-01 8.93e-01 7.13e-01 7.51e-01 8.82e-01
105.0 105.0 105.0 105.0 105.0 105.0 15.0 15.0 15.0 15.0 15.0 15.0 107.2 74.6 88.8 74.6 88.8 97.3 6.63e-01 4.64e-01 5.53e-01 4.55e-01 5.04e-01 5.84e-01
115.0 115.0 115.0 115.0 115.0 115.0 15.0 15.0 15.0 15.0 15.0 15.0 81.8 59.7 69.6 39.4 75.3 75.3 4.52e-01 3.43e-01 3.75e-01 1.00e+00 3.75e-01 4.22e-01
125.0 125.0 125.0 125.0 125.0 125.0 15.0 15.0 15.0 15.0 15.0 15.0 70.0 56.2 56.2 52.4 60.3 60.3 3.37e-01 2.94e-01 2.78e-01 2.79e-01 2.89e-01 3.06e-01
150.0 150.0 150.0 150.0 150.0 150.0 15.0 15.0 15.0 15.0 15.0 15.0 40.4 40.4 42.7 40.4 42.7 45.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
