# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
25.0 25.0 25.0 25.0 25.0 25.0 15.0 15.0 15.0 15.0 15.0 15.0 500.0 500.0 500.0 500.0 500.0 500.0 1.32e+01 6.55e+00 2.39e+01 1.15e+01 1.99e+01 1.04e+01
35.0 35.0 35.0 35.0 35.0 35.0 15.0 15.0 15.0 15.0 15.0 15.0 700.0 700.0 700.0 700.0 700.0 700.0 1.19e+01 8.80e+00 9.95e+00 2.20e+01 1.36e+01 2.52e+01
45.0 45.0 45.0 45.0 45.0 45.0 15.0 15.0 15.0 15.0 15.0 15.0 900.0 900.0 16.5 900.0 900.0 3.3 1.24e+01 1.25e+01 2.14e-01 1.70e+01 7.20e+00 1.00e+00
55.0 55.0 55.0 55.0 55.0 55.0 15.0 15.0 15.0 15.0 15.0 15.0 36.0 1100.0 1100.0 1100.0 1100.0 1100.0 4.92e-01 1.50e+01 9.04e+00 2.47e+01 7.03e+00 8.81e+00
65.0 65.0 65.0 65.0 65.0 65.0 15.0 15.0 15.0 15.0 15.0 15.0 1300.0 1300.0 1300.0 301.6 1300.0 1300.0 1.51e+01 1.22e+01 9.13e+00 5.97e+00 1.46e+01 9.01e+00
75.0 75.0 75.0 75.0 75.0 75.0 15.0 15.0 15.0 15.0 15.0 15.0 731.7 220.5 475.8 157.1 731.7 1500.0 6.37e+00 2.19e+00 3.82e+00 2.41e+00 3.58e+00 1.18e+01
85.0 85.0 85.0 85.0 85.0 85.0 15.0 15.0 15.0 15.0 15.0 15.0 394.4 135.2 249.9 119.7 394.4 539.3 2.87e+00 1.21e+00 1.48e+00 1.54e+00 1.95e+00 2.95e+00
95.0 95.0 95.0 95.0 95.0 95.0 15.0 15.0 15.0 15.0 15.0 15.0 233.4 96.9 119.4 80.3 199.0 279.3 1.41e+00 7.85e-01 8.24e-01 6.34e-01 9.23e-01 1.31e+00
105.0 105.0 105.0 105.0 105.0 105.0 15.0 15.0 15.0 15.0 15.0 15.0 167.0 54.5 88.8 54.5 107.2 167.0 8.40e-01 5.34e-01 6.14e-01 4.13e-01 5.43e-01 6.67e-01
115.0 115.0 115.0 115.0 115.0 115.0 15.0 15.0 15.0 15.0 15.0 15.0 129.8 51.7 89.0 36.9 117.4 97.2 5.57e-01 3.21e-01 4.11e-01 3.45e-01 5.40e-01 4.29e-01
125.0 125.0 125.0 125.0 125.0 125.0 15.0 15.0 15.0 15.0 15.0 15.0 105.7 52.4 75.6 42.8 115.9 81.9 4.49e-01 3.06e-01 2.84e-01 3.18e-01 4.79e-01 3.88e-01
150.0 150.0 150.0 150.0 150.0 150.0 15.0 15.0 15.0 15.0 15.0 15.0 54.9 36.4 54.9 24.5 90.7 72.4 2.22e-01 1.00e+00 2.11e-01 1.00e+00 2.43e-01 3.59e-01
175.0 175.0 175.0 175.0 175.0 175.0 15.0 15.0 15.0 15.0 15.0 15.0 35.6 5.0 23.9 16.0 68.5 68.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 15.0 15.0 15.0 15.0 15.0 15.0 17.1 21.9 15.0 11.3 48.6 53.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 15.0 15.0 15.0 15.0 15.0 15.0 1.8 20.6 16.6 8.2 44.0 34.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 15.0 15.0 15.0 15.0 15.0 15.0 18.5 13.5 13.6 6.8 35.1 19.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 15.0 15.0 15.0 15.0 15.0 15.0 13.7 9.7 10.4 6.5 24.7 19.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 15.0 15.0 15.0 15.0 15.0 15.0 8.3 9.0 8.4 7.5 19.1 15.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 25.0 25.0 25.0 25.0 25.0 25.0 100.0 100.0 100.0 100.0 100.0 100.0 2.13e+01 1.15e+02 5.71e+00 9.86e+01 8.94e+00 5.19e+00
10.0 10.0 10.0 10.0 10.0 10.0 25.0 25.0 25.0 25.0 25.0 25.0 200.0 200.0 200.0 200.0 200.0 200.0 1.98e+01 7.40e+01 4.78e+00 1.89e+01 7.91e+00 5.60e+00
15.0 15.0 15.0 15.0 15.0 15.0 25.0 25.0 25.0 25.0 25.0 25.0 300.0 300.0 300.0 300.0 300.0 300.0 2.17e+01 5.07e+01 6.57e+00 1.59e+01 7.99e+00 7.45e+00
20.0 20.0 20.0 20.0 20.0 20.0 25.0 25.0 25.0 25.0 25.0 25.0 400.0 400.0 400.0 400.0 400.0 400.0 1.89e+01 7.20e+01 6.26e+00 1.89e+01 8.79e+00 8.93e+00
25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 25.0 500.0 500.0 500.0 500.0 500.0 500.0 2.02e+01 1.91e+01 7.08e+00 1.90e+01 9.85e+00 1.03e+01
35.0 35.0 35.0 35.0 35.0 35.0 25.0 25.0 25.0 25.0 25.0 25.0 700.0 700.0 700.0 700.0 126.7 700.0 1.46e+01 9.44e+00 8.30e+00 1.28e+01 2.14e+00 1.01e+01
45.0 45.0 45.0 45.0 45.0 45.0 25.0 25.0 25.0 25.0 25.0 25.0 41.7 900.0 900.0 900.0 900.0 900.0 6.23e-01 2.00e+01 6.66e+00 1.83e+01 1.42e+01 1.29e+01
55.0 55.0 55.0 55.0 55.0 55.0 25.0 25.0 25.0 25.0 25.0 25.0 1100.0 1100.0 1100.0 1100.0 6.5 1100.0 7.61e+00 2.08e+01 7.42e+00 3.30e+01 8.80e-02 1.47e+01
65.0 65.0 65.0 65.0 65.0 65.0 25.0 25.0 25.0 25.0 25.0 25.0 1300.0 1300.0 1300.0 1300.0 1300.0 1300.0 9.09e+00 1.27e+01 9.03e+00 2.52e+01 1.31e+01 1.41e+01
75.0 75.0 75.0 75.0 75.0 75.0 25.0 25.0 25.0 25.0 25.0 25.0 475.8 220.5 731.7 271.5 271.5 731.7 2.70e+00 2.33e+00 4.39e+00 2.48e+00 2.10e+00 7.22e+00
85.0 85.0 85.0 85.0 85.0 85.0 25.0 25.0 25.0 25.0 25.0 25.0 249.9 106.8 307.7 119.7 394.4 27.3 1.28e+00 1.14e+00 1.64e+00 1.06e+00 2.15e+00 2.29e-01
95.0 95.0 95.0 95.0 95.0 95.0 25.0 25.0 25.0 25.0 25.0 25.0 199.0 23.1 172.3 88.1 151.1 233.4 9.01e-01 2.87e-01 9.03e-01 7.47e-01 7.25e-01 1.84e+00
105.0 105.0 105.0 105.0 105.0 105.0 25.0 25.0 25.0 25.0 25.0 25.0 147.8 21.4 131.9 58.8 257.9 147.8 7.42e-01 1.00e+00 5.85e-01 4.34e-01 1.12e+00 1.04e+00
